Wavelength,RGB,RB,White
520.366,2184.95,23.4,1700.27
520.714,2158.38,23.25,1729.7
521.061,2143.67,22.83,1767.13
521.408,2101.38,22.25,1789.41
521.756,2051.38,21.54,1803.56
522.103,2022.81,23.54,1852.98
522.451,1985.95,22.25,1873.84
522.798,1950.95,20.11,1898.98
523.145,1896.38,23.11,1914.84
523.492,1859.81,21.97,1930.98
523.84,1834.52,22.68,1964.98
524.187,1793.24,22.83,1996.13
524.534,1767.52,21.68,2018.13
524.881,1719.67,21.54,2044.84
525.228,1687.95,20.97,2069.41
525.575,1642.52,21.11,2080.7
525.922,1613.67,20.68,2115.27
526.269,1577.52,20.11,2133.41
526.616,1550.24,20.83,2165.56
526.963,1512.52,20.83,2172.56
527.309,1489.24,18.54,2196.27
527.656,1451.1,20.4,2211.84
528.003,1421.24,19.54,2241.56
528.35,1386.24,19.68,2255.41
528.696,1345.95,20.4,2280.13
529.043,1318.67,19.68,2293.41
529.389,1299.52,18.68,2317.56
529.736,1268.95,17.97,2340.98
530.082,1246.38,19.83,2362.84
530.429,1220.24,19.25,2382.7
530.775,1185.52,18.68,2408.41
531.122,1166.24,17.83,2432.98
531.468,1138.1,20.25,2454.84
531.814,1117.81,19.25,2477.84
532.161,1074.24,19.83,2491.98
532.507,1054.24,17.68,2507.7
532.853,1031.1,18.11,2519.98
533.199,1010.52,18.4,2543.27
533.545,988.67,18.4,2561.13
533.891,957.81,18.54,2557.27
534.237,940.95,19.54,2613.41
534.583,923.24,19.11,2626.56
534.929,880.81,18.54,2611.41
535.275,873.1,17.68,2647.7
535.621,854.81,18.4,2668.98
535.967,836.95,19.25,2705.84
536.313,812.24,18.4,2715.84
536.658,792.52,18.25,2746.13
537.004,771.81,18.97,2739.13
537.35,752.52,17.25,2762.41
537.695,740.24,16.97,2786.84
538.041,721.52,17.83,2815.7
538.386,704.67,17.11,2830.56
538.732,679.24,17.54,2858.41
539.077,672.38,18.68,2870.41
539.423,654.38,17.97,2894.27
539.768,634.81,18.25,2900.13
540.114,616.67,18.83,2915.98
540.459,600.1,18.11,2945.13
540.804,587.81,18.25,2977.13
541.149,574.67,18.11,2996.56
541.495,558.38,20.54,2993.84
541.84,546.24,21.25,3030.98
542.185,531.24,22.97,3029.56
542.53,516.67,23.25,3057.27
542.875,511.52,22.97,3092.27
543.22,497.52,22.83,3107.13
543.565,484.24,22.4,3114.41
543.91,468.52,20.11,3157.27
544.255,465.1,22.83,3155.56
544.6,445.52,22.97,3184.56
544.944,437.24,22.97,3181.7
545.289,427.1,21.54,3227.98
545.634,422.38,22.4,3244.27
545.978,408.95,23.97,3249.27
546.323,399.24,23.83,3260.13
546.668,388.24,24.97,3289.84
547.012,378.52,24.83,3316.84
547.357,373.24,24.25,3344.84
547.701,360.81,22.54,3322.13
548.046,350.1,21.68,3371.41
548.39,343.81,20.11,3385.98
548.734,329.81,19.4,3386.56
549.079,325.24,18.68,3416.27
549.423,317.38,19.25,3429.98
549.767,307.38,18.97,3441.98
550.111,305.1,19.97,3458.56
550.456,295.67,19.25,3480.7
550.8,287.67,18.97,3493.56
551.144,284.81,19.25,3517.27
551.488,277.38,17.97,3528.84
551.832,267.1,17.25,3535.84
552.176,263.95,17.4,3550.7
552.52,247.95,16.83,3577.98
552.863,247.81,17.54,3595.7
553.207,243.95,15.83,3590.56
553.551,238.67,16.11,3618.27
553.895,230.38,17.68,3637.7
554.239,223.24,16.54,3631.84
554.582,218.67,16.25,3628.98
554.926,217.24,17.54,3668.41
555.269,212.81,15.97,3675.56
555.613,206.52,16.4,3681.98
555.956,203.95,16.83,3709.7
556.3,195.1,16.4,3708.7
556.643,190.95,16.97,3728.7
556.987,185.52,15.54,3721.41
557.33,181.1,14.68,3719.84
557.673,178.24,15.11,3732.13
558.017,172.95,14.68,3758.98
558.36,171.1,16.4,3752.56
558.703,166.95,16.11,3761.56
559.046,159.67,16.83,3756.13
559.389,156.52,15.97,3766.13
559.732,152.1,15.68,3806.13
560.075,148.81,15.54,3795.41
560.418,145.52,16.68,3810.56
560.761,141.24,15.97,3803.84
561.104,140.67,16.25,3829.56
561.447,134.1,14.54,3822.41
561.79,132.81,15.11,3800.7
562.133,129.67,15.54,3819.84
562.475,125.52,15.11,3826.84
562.818,122.52,15.4,3807.13
563.161,116.38,15.83,3847.7
563.503,117.1,14.54,3828.27
563.846,114.81,14.25,3824.27
564.188,112.38,15.54,3825.27
564.531,107.38,13.54,3837.84
564.873,109.24,14.4,3850.98
565.216,101.52,15.11,3840.7
565.558,102.67,14.68,3867.56
565.9,100.1,16.25,3852.84
566.243,95.67,14.54,3826.7
566.585,94.81,14.4,3846.7
566.927,91.95,14.83,3840.7
567.269,91.38,14.4,3850.98
567.611,87.67,13.4,3856.27
567.954,85.81,15.54,3833.41
568.296,86.1,17.11,3854.84
568.638,82.1,15.25,3837.84
568.98,84.1,14.68,3849.98
569.321,77.1,14.25,3843.13
569.663,79.1,15.11,3861.13
570.005,76.67,15.68,3817.27
570.347,74.24,15.4,3825.84
570.689,74.81,16.83,3834.56
571.03,72.24,15.54,3834.7
571.372,71.81,14.11,3821.7
571.714,69.95,15.4,3823.7
572.055,69.67,16.25,3822.98
572.397,65.38,15.54,3823.84
572.738,65.67,15.54,3813.41
573.08,65.1,15.54,3816.98
573.421,62.81,17.11,3814.41
573.763,60.1,16.83,3793.98
574.104,60.52,15.68,3798.41
574.445,59.24,16.54,3812.41
574.787,59.1,15.83,3803.41
575.128,58.81,15.4,3797.98
575.469,55.95,15.4,3799.84
575.81,54.95,15.11,3809.84
576.151,53.24,15.11,3782.41
576.492,54.81,16.11,3805.13
576.833,52.24,16.54,3773.27
577.174,53.52,15.83,3776.27
577.515,53.95,14.54,3779.13
577.856,52.38,15.54,3783.13
578.197,52.67,15.83,3769.27
578.538,50.52,14.97,3781.84
578.878,52.38,16.83,3764.27
579.219,51.67,16.4,3772.56
579.56,50.1,14.97,3769.98
579.9,49.1,16.97,3778.13
580.241,48.1,16.83,3745.27
