PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,Y(NO),Y(NO)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Treatment,Rep
440,0.396,0.009416298,0.074333333,0.008178563,0.530333333,0.001247219,0.139666667,0.015542058,0.156333333,0.015151091,0.577,0.012832251,0.3,0.010198039,73.13333333,1.759419096,RGB,2
556,0.341666667,0.008576454,0.08,0.009416298,0.578,0.001632993,0.138666667,0.016819301,0.155,0.016872068,0.498333333,0.011585431,0.237666667,0.007717225,79.83333333,2.003885115,RGB,2
690,0.289333333,0.007363574,0.086,0.010708252,0.624666667,0.003771236,0.138,0.017378147,0.154,0.016573071,0.421666667,0.009533566,0.186333333,0.005249339,83.9,2.127596453,RGB,2
844,0.242666667,0.006128259,0.091,0.011518102,0.666666667,0.00601849,0.136333333,0.018553227,0.153,0.018184242,0.353,0.008286535,0.146,0.003559026,85.93333333,2.166923062,RGB,2
1007,0.203666667,0.005312459,0.094666667,0.012472191,0.702,0.00725718,0.135,0.018708287,0.151666667,0.018354533,0.296666667,0.006599663,0.116666667,0.002624669,86.13333333,2.163844316,RGB,2
1207,0.167666667,0.004496913,0.100333333,0.012918548,0.732333333,0.009104334,0.137,0.019252705,0.153333333,0.018571184,0.244333333,0.005436502,0.091666667,0.001885618,84.93333333,2.166923062,RGB,2
1414,0.139666667,0.003681787,0.105333333,0.013474255,0.755,0.010033278,0.139666667,0.018909139,0.156,0.019026298,0.203333333,0.004642796,0.074333333,0.001699673,82.76666667,2.135935912,RGB,2
1689,0.111666667,0.002867442,0.112666667,0.014383633,0.775666667,0.011728408,0.145333333,0.019938795,0.161333333,0.019754043,0.162666667,0.003399346,0.057666667,0.001247219,79.1,1.96468827,RGB,2
1995,0.088666667,0.002054805,0.120666667,0.014974052,0.790666667,0.013123346,0.153333333,0.02131249,0.169,0.020215506,0.129666667,0.002624669,0.045,0.000816497,74.46666667,1.730767331,RGB,2
0,0.719666667,0.003091206,0,0,0.280333333,0.003091206,0,0,0,0,1,0,1,0,0,0,RB,2
1,0.699,0.003265986,0.009,0.000816497,0.292666667,0.002624669,0.03,0.00244949,0.037,0.003265986,0.979333333,0.000471405,0.931,0.002160247,0.3,0,RB,2
2,0.703333333,0.003299832,0.005333333,0.001699673,0.291333333,0.003858612,0.018333333,0.005906682,0.022666667,0.007586538,0.982333333,0.000942809,0.940666667,0.003299832,0.6,0,RB,2
11,0.679,0.006480741,0.008333333,0.003091206,0.312,0.006164414,0.027666667,0.009672412,0.034333333,0.011556624,0.951,0.005715476,0.847666667,0.014055446,3.166666667,0.047140452,RB,2
31,0.599,0.027652607,0.012666667,0.003399346,0.387666667,0.02608107,0.033666667,0.007586538,0.041333333,0.00946338,0.840333333,0.036334862,0.605333333,0.059667598,7.8,0.355902608,RB,2
55,0.554,0.021213203,0.023333333,0.004642796,0.422333333,0.018372685,0.055333333,0.00942809,0.066666667,0.010370899,0.781666667,0.0266625,0.512333333,0.036380703,12.8,0.496655481,RB,2
80,0.531,0.014899664,0.034666667,0.004784233,0.434333333,0.01203698,0.08,0.010614456,0.094,0.011313708,0.754333333,0.018080069,0.477,0.021602469,17.8,0.496655481,RB,2
114,0.512666667,0.011264497,0.047333333,0.005906682,0.44,0.008286535,0.107,0.012754084,0.122666667,0.013224556,0.734,0.013140269,0.454333333,0.01426729,24.53333333,0.524933858,RB,2
150,0.506,0.009273618,0.057,0.005656854,0.436666667,0.006944222,0.130333333,0.013767918,0.146666667,0.013299958,0.728666667,0.009877022,0.451,0.010198039,31.9,0.571547607,RB,2
195,0.5,0.007788881,0.066,0.005656854,0.434333333,0.006236096,0.152,0.013589211,0.167333333,0.01302135,0.724,0.008524475,0.448333333,0.007408704,40.9,0.637704216,RB,2
260,0.487333333,0.007318166,0.074666667,0.005436502,0.438,0.005887841,0.171,0.012832251,0.184333333,0.011614168,0.709666667,0.007586538,0.434,0.006480741,53.2,0.778888096,RB,2
345,0.461333333,0.008055364,0.083333333,0.00518545,0.455333333,0.006548961,0.183333333,0.011897712,0.196333333,0.010338708,0.674333333,0.008806563,0.395,0.008041559,66.86666667,1.114550233,RB,2
440,0.423333333,0.008806563,0.091333333,0.005249339,0.485666667,0.007363574,0.187666667,0.011469767,0.2,0.009899495,0.619,0.010984838,0.339333333,0.009177267,78.2,1.651262144,RB,2
556,0.375333333,0.009568467,0.099333333,0.004921608,0.525666667,0.009177267,0.189333333,0.010077478,0.201333333,0.008730534,0.549,0.013140269,0.278333333,0.009177267,87.63333333,2.252899366,RB,2
690,0.325,0.009416298,0.106333333,0.004988877,0.568666667,0.010530379,0.187333333,0.010402991,0.199666667,0.008730534,0.475666667,0.013597385,0.222666667,0.008730534,94.2,2.808320969,RB,2
844,0.276666667,0.009104334,0.112666667,0.005906682,0.61,0.012569805,0.185333333,0.012657892,0.197666667,0.010964589,0.404666667,0.013424687,0.177,0.008041559,98.13333333,3.31896905,RB,2
1007,0.235333333,0.008806563,0.118,0.00725718,0.646333333,0.013816255,0.183333333,0.014884742,0.196,0.012832251,0.343666667,0.012657892,0.142333333,0.006798693,99.53333333,3.598456459,RB,2
1207,0.196,0.007874008,0.124,0.009092121,0.68,0.015513435,0.183,0.017204651,0.196,0.015121728,0.286,0.012192894,0.112333333,0.00601849,99.26666667,4.047495796,RB,2
1414,0.164333333,0.006649979,0.129666667,0.011440668,0.706,0.017107503,0.184333333,0.020821997,0.196666667,0.017556259,0.24,0.010677078,0.090666667,0.004784233,97.53333333,4.083571422,RB,2
1689,0.132,0.005715476,0.137,0.013490738,0.730666667,0.018803073,0.188333333,0.023299976,0.2,0.020461346,0.193333333,0.008806563,0.070666667,0.004027682,93.83333333,4.094169296,RB,2
1995,0.106333333,0.004496913,0.145666667,0.014727148,0.748,0.018708287,0.195333333,0.024567368,0.206333333,0.02131249,0.155666667,0.006847546,0.055333333,0.003091206,89.03333333,3.779182745,RB,2
0,0.727333333,0.001699673,0,0,0.272666667,0.001699673,0,0,0,0,1,0,1,0,0,0,White,3
1,0.703333333,0.003771236,0.007333333,0.000942809,0.288666667,0.00518545,0.027,0.004242641,0.033333333,0.00518545,0.974666667,0.004714045,0.914666667,0.013199327,0.3,0,White,3
2,0.709333333,0.00601849,0.006333333,0.001699673,0.284,0.007874008,0.023333333,0.006798693,0.029,0.008041559,0.981333333,0.007318166,0.936,0.024166092,0.6,0,White,3
11,0.675,0.020066556,0.008666667,0.001885618,0.316,0.022226111,0.029,0.007788881,0.035666667,0.009672412,0.935333333,0.027475241,0.805,0.069747162,3.133333333,0.094280904,White,3
31,0.609,0.036724197,0.013666667,0.000942809,0.377,0.037345236,0.037,0.004320494,0.045666667,0.004784233,0.845333333,0.049841972,0.612666667,0.086588426,7.966666667,0.478423336,White,3
55,0.579333333,0.031169786,0.022333333,0.002054805,0.398666667,0.029634814,0.055333333,0.001699673,0.066333333,0.002494438,0.808333333,0.041827689,0.548666667,0.062339572,13.4,0.725718035,White,3
80,0.563333333,0.023471022,0.030333333,0.002867442,0.406333333,0.021296844,0.074333333,0.003771236,0.087666667,0.004027682,0.789666667,0.030706496,0.521,0.042591079,18.93333333,0.817856276,White,3
114,0.548333333,0.018372685,0.037,0.00244949,0.414666667,0.016048537,0.089333333,0.003771236,0.103666667,0.004027682,0.771666667,0.023612614,0.496333333,0.030554141,26.23333333,0.89566859,White,3
150,0.533666667,0.018517259,0.042666667,0.002867442,0.423666667,0.015923428,0.101333333,0.003771236,0.116,0.004242641,0.753,0.023622024,0.472333333,0.028871362,33.6,1.15758369,White,3
195,0.507,0.021463147,0.048,0.003265986,0.444666667,0.01798765,0.108666667,0.004027682,0.123666667,0.004027682,0.717666667,0.027535835,0.428,0.030539592,41.53333333,1.744196727,White,3
260,0.460666667,0.023976841,0.054,0.004082483,0.485333333,0.020286832,0.111333333,0.004496913,0.127,0.004966555,0.652333333,0.031478388,0.356666667,0.028802006,50.33333333,2.584999463,White,3
345,0.401333333,0.024444949,0.059333333,0.003681787,0.539333333,0.021013223,0.109666667,0.003399346,0.125333333,0.003858612,0.568,0.032690468,0.279333333,0.024362996,58.1,3.559026084,White,3
440,0.343333333,0.023795424,0.062,0.003741657,0.594666667,0.02013841,0.104,0.00244949,0.119333333,0.002867442,0.485333333,0.031562988,0.216666667,0.019669491,63.46666667,4.327688631,White,3
556,0.286333333,0.020997354,0.063333333,0.003299832,0.65,0.01805547,0.097666667,0.002494438,0.112333333,0.002867442,0.404666667,0.02840579,0.165666667,0.014817407,66.9,4.940310382,White,3
690,0.236333333,0.018208667,0.064333333,0.003399346,0.699333333,0.015173076,0.092,0.003265986,0.106666667,0.003681787,0.333333333,0.024689179,0.126666667,0.011264497,68.53333333,5.339371582,White,3
844,0.194,0.015748016,0.066666667,0.003091206,0.739333333,0.012814922,0.09,0.00294392,0.104333333,0.003399346,0.273,0.021463147,0.098333333,0.008806563,68.76666667,5.634615239,White,3
1007,0.160666667,0.013424687,0.069,0.003559026,0.770333333,0.009877022,0.089666667,0.003091206,0.104,0.003559026,0.226,0.017907168,0.078,0.006480741,67.93333333,5.618026542,White,3
