PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
1414,0.155,0.007118052,0.057666667,0.009568467,0.073333333,0.012657892,0.086,0.013589211,0.217333333,0.00946338,0.074,0.003559026,92.1,4.140853374,RB,3
1689,0.125,0.005715476,0.060333333,0.010498677,0.074,0.013589211,0.087666667,0.014522014,0.175,0.007874008,0.057666667,0.002624669,88.5,4.140853374,RB,3
1995,0.099666667,0.004784233,0.066666667,0.011728408,0.079666667,0.015282525,0.093666667,0.016048537,0.140666667,0.006182412,0.045,0.002160247,83.76666667,4.059830319,RB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,4
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,4
0,0.711,0.004320494,0,0,0,0,0,0,1,0,1,0,0,0,RB,4
1,0.677666667,0.005249339,0.013666667,0.001699673,0.045,0.004966555,0.055,0.005715476,0.965333333,0.000942809,0.892333333,0.002054805,0.3,0,RB,4
2,0.68,0.005715476,0.013666667,0.000942809,0.045,0.004082483,0.055333333,0.004496913,0.968666667,0.001699673,0.902666667,0.004921608,0.6,0,RB,4
11,0.653,0.000816497,0.018,0.00244949,0.055,0.007788881,0.067,0.008602325,0.933,0.003741657,0.806666667,0.010077478,3,0,RB,4
31,0.583,0.016573071,0.023333333,0.004988877,0.059,0.010424331,0.071333333,0.011671428,0.834333333,0.026284765,0.604666667,0.046949145,7.566666667,0.205480467,RB,4
55,0.541666667,0.017172329,0.035,0.007788881,0.082666667,0.016438437,0.097333333,0.017632042,0.78,0.025806976,0.522,0.038131352,12.5,0.40824829,RB,4
80,0.528,0.014306176,0.044666667,0.009809293,0.104,0.021648711,0.12,0.022045408,0.765,0.020607442,0.503,0.02808321,17.73333333,0.492160769,RB,4
114,0.515,0.009899495,0.052,0.011045361,0.119666667,0.025315783,0.136,0.025311394,0.749,0.013928388,0.483666667,0.017913372,24.63333333,0.492160769,RB,4
150,0.504666667,0.006342099,0.057333333,0.011841546,0.131,0.029810513,0.147333333,0.028581268,0.737,0.008485281,0.469,0.010801234,31.83333333,0.38586123,RB,4
195,0.485333333,0.003299832,0.061666667,0.014290634,0.136666667,0.034701905,0.152333333,0.033529423,0.71,0.005656854,0.436,0.008640988,39.76666667,0.286744176,RB,4
260,0.450666667,0.004109609,0.065333333,0.016739839,0.136666667,0.039194671,0.152333333,0.037985377,0.658666667,0.009030811,0.379,0.011775681,49.2,0.454606057,RB,4
345,0.404,0.004898979,0.069,0.019595918,0.132666667,0.042460439,0.147666667,0.041651997,0.589333333,0.009977753,0.312,0.011575837,58.53333333,0.694422222,RB,4
440,0.356333333,0.004496913,0.070333333,0.022454893,0.124666667,0.044093335,0.14,0.04368829,0.519,0.009092121,0.253,0.009416298,65.83333333,0.821921867,RB,4
556,0.306,0.004546061,0.071666667,0.024931016,0.117,0.044549598,0.132,0.044504681,0.445333333,0.008653837,0.200666667,0.007717225,71.46666667,1.078064109,RB,4
690,0.258,0.004320494,0.073333333,0.026960877,0.111333333,0.044969125,0.125666667,0.045726239,0.375,0.007348469,0.157333333,0.005436502,74.86666667,1.172840806,RB,4
844,0.215333333,0.003399346,0.074666667,0.028193774,0.107,0.043734045,0.121666667,0.044909786,0.312333333,0.006128259,0.123666667,0.004189935,76.3,1.219289411,RB,4
1007,0.180333333,0.003399346,0.077,0.028612352,0.105666667,0.042944409,0.120333333,0.044100894,0.262,0.005715476,0.099,0.003741657,76.33333333,1.381625452,RB,4
1207,0.148,0.00294392,0.080666667,0.029825418,0.106333333,0.042523196,0.121333333,0.044100894,0.214333333,0.004496913,0.078,0.00294392,75,1.373559852,RB,4
1414,0.122666667,0.002494438,0.085666667,0.029009577,0.109666667,0.041314512,0.124666667,0.042066086,0.178333333,0.004496913,0.063333333,0.002494438,72.93333333,1.621384868,RB,4
1689,0.098666667,0.001699673,0.091333333,0.029847762,0.114333333,0.041346772,0.129666667,0.041683996,0.143333333,0.002867442,0.049333333,0.001699673,70,1.29614814,RB,4
1995,0.078333333,0.002054805,0.099333333,0.029488227,0.122,0.040232657,0.137333333,0.039718454,0.114333333,0.003299832,0.039,0.001632993,65.83333333,1.717232916,RB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,5
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,5
