PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
11,0.660333333,0.007760298,0.012666667,0.002054805,0.038666667,0.005792716,0.047666667,0.006599663,0.929666667,0.013888444,0.794,0.036769553,3.066666667,0.047140452,RGB,4
31,0.597,0.031633316,0.016333333,0.005249339,0.042,0.011343133,0.051666667,0.013224556,0.841333333,0.046348918,0.612333333,0.085495939,7.766666667,0.410960934,RGB,4
55,0.567,0.031822424,0.024333333,0.008178563,0.058,0.01779513,0.069666667,0.020417857,0.802,0.044639295,0.548333333,0.072467617,13.1,0.748331477,RGB,4
80,0.552333333,0.024796953,0.030666667,0.009877022,0.072,0.021463147,0.085333333,0.023795424,0.784333333,0.034663461,0.521,0.051633323,18.56666667,0.837987006,RGB,4
114,0.537,0.018457158,0.035333333,0.011115555,0.082666667,0.02422579,0.096,0.026545558,0.764666667,0.024689179,0.493333333,0.033628691,25.7,0.883176087,RGB,4
150,0.521666667,0.012119773,0.039333333,0.011897712,0.089666667,0.026549744,0.104,0.028855964,0.744333333,0.016213849,0.465666667,0.019601587,32.83333333,0.79302515,RGB,4
195,0.496333333,0.007930252,0.043333333,0.013274872,0.094333333,0.028569603,0.108666667,0.030868898,0.709,0.009092121,0.422333333,0.009533566,40.63333333,0.63420992,RGB,4
260,0.453,0.004320494,0.046666667,0.014974052,0.094333333,0.031510139,0.108666667,0.03380664,0.647333333,0.004189935,0.355333333,0.002054805,49.46666667,0.464279609,RGB,4
345,0.398333333,0.001885618,0.05,0.016872068,0.091666667,0.032836294,0.105666667,0.035565276,0.568666667,0.000471405,0.283,0.001632993,57.73333333,0.262466929,RGB,4
440,0.345333333,0.001247219,0.051666667,0.019482186,0.087,0.034535006,0.100666667,0.037721199,0.493,0.001414214,0.224666667,0.002867442,63.83333333,0.205480467,RGB,4
556,0.292,0,0.053,0.021400935,0.082333333,0.035112518,0.095333333,0.03861203,0.416333333,0.002054805,0.174666667,0.002867442,68.23333333,0.094280904,RGB,4
690,0.242666667,0.000942809,0.055,0.023551362,0.079666667,0.03546203,0.092666667,0.038955815,0.345333333,0.002867442,0.135666667,0.002867442,70.33333333,0.262466929,RGB,4
844,0.200666667,0.001699673,0.057666667,0.024796953,0.078666667,0.03546203,0.092,0.03906405,0.285333333,0.003399346,0.106333333,0.002867442,71.1,0.571547607,RGB,4
1007,0.167666667,0.001699673,0.061,0.026495283,0.08,0.036359318,0.092666667,0.040309911,0.238,0.003741657,0.085,0.00244949,70.73333333,0.694422222,RGB,4
1207,0.136666667,0.001699673,0.065333333,0.027402352,0.082666667,0.036572607,0.095666667,0.040086019,0.194333333,0.002867442,0.067333333,0.002054805,69.26666667,0.703957069,RGB,4
1414,0.112333333,0.002054805,0.071,0.027856777,0.087666667,0.036572607,0.101333333,0.039752009,0.16,0.003265986,0.053666667,0.002054805,66.63333333,1.102522361,RGB,4
1689,0.089,0.001414214,0.078,0.029223278,0.095333333,0.037597281,0.109333333,0.040334711,0.127666667,0.002624669,0.042,0.001414214,63.36666667,0.910433352,RGB,4
1995,0.071333333,0.001247219,0.085666667,0.029488227,0.103,0.037850583,0.117333333,0.039969433,0.102333333,0.002054805,0.033,0.000816497,59.83333333,0.903081146,RGB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,5
