PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,3
0,0.727333333,0.001699673,0,0,0,0,0,0,1,0,1,0,0,0,WHITE,3
1,0.703333333,0.003771236,0.007333333,0.000942809,0.027,0.004242641,0.033333333,0.00518545,0.974666667,0.004714045,0.914666667,0.013199327,0.3,0,WHITE,3
2,0.709333333,0.00601849,0.006333333,0.001699673,0.023333333,0.006798693,0.029,0.008041559,0.981333333,0.007318166,0.936,0.024166092,0.6,0,WHITE,3
11,0.675,0.020066556,0.008666667,0.001885618,0.029,0.007788881,0.035666667,0.009672412,0.935333333,0.027475241,0.805,0.069747162,3.133333333,0.094280904,WHITE,3
31,0.609,0.036724197,0.013666667,0.000942809,0.037,0.004320494,0.045666667,0.004784233,0.845333333,0.049841972,0.612666667,0.086588426,7.966666667,0.478423336,WHITE,3
55,0.579333333,0.031169786,0.022333333,0.002054805,0.055333333,0.001699673,0.066333333,0.002494438,0.808333333,0.041827689,0.548666667,0.062339572,13.4,0.725718035,WHITE,3
80,0.563333333,0.023471022,0.030333333,0.002867442,0.074333333,0.003771236,0.087666667,0.004027682,0.789666667,0.030706496,0.521,0.042591079,18.93333333,0.817856276,WHITE,3
114,0.548333333,0.018372685,0.037,0.00244949,0.089333333,0.003771236,0.103666667,0.004027682,0.771666667,0.023612614,0.496333333,0.030554141,26.23333333,0.89566859,WHITE,3
150,0.533666667,0.018517259,0.042666667,0.002867442,0.101333333,0.003771236,0.116,0.004242641,0.753,0.023622024,0.472333333,0.028871362,33.6,1.15758369,WHITE,3
195,0.507,0.021463147,0.048,0.003265986,0.108666667,0.004027682,0.123666667,0.004027682,0.717666667,0.027535835,0.428,0.030539592,41.53333333,1.744196727,WHITE,3
260,0.460666667,0.023976841,0.054,0.004082483,0.111333333,0.004496913,0.127,0.004966555,0.652333333,0.031478388,0.356666667,0.028802006,50.33333333,2.584999463,WHITE,3
345,0.401333333,0.024444949,0.059333333,0.003681787,0.109666667,0.003399346,0.125333333,0.003858612,0.568,0.032690468,0.279333333,0.024362996,58.1,3.559026084,WHITE,3
440,0.343333333,0.023795424,0.062,0.003741657,0.104,0.00244949,0.119333333,0.002867442,0.485333333,0.031562988,0.216666667,0.019669491,63.46666667,4.327688631,WHITE,3
556,0.286333333,0.020997354,0.063333333,0.003299832,0.097666667,0.002494438,0.112333333,0.002867442,0.404666667,0.02840579,0.165666667,0.014817407,66.9,4.940310382,WHITE,3
690,0.236333333,0.018208667,0.064333333,0.003399346,0.092,0.003265986,0.106666667,0.003681787,0.333333333,0.024689179,0.126666667,0.011264497,68.53333333,5.339371582,WHITE,3
844,0.194,0.015748016,0.066666667,0.003091206,0.09,0.00294392,0.104333333,0.003399346,0.273,0.021463147,0.098333333,0.008806563,68.76666667,5.634615239,WHITE,3
1007,0.160666667,0.013424687,0.069,0.003559026,0.089666667,0.003091206,0.104,0.003559026,0.226,0.017907168,0.078,0.006480741,67.93333333,5.618026542,WHITE,3
1207,0.130333333,0.010964589,0.073666667,0.003771236,0.092333333,0.004027682,0.106666667,0.004496913,0.183666667,0.014817407,0.061333333,0.005249339,66.03333333,5.604958123,WHITE,3
1414,0.107,0.008640988,0.079,0.003559026,0.097,0.003559026,0.111666667,0.003858612,0.151,0.012192894,0.049333333,0.003858612,63.53333333,5.186092513,WHITE,3
1689,0.085333333,0.007408704,0.086333333,0.004784233,0.104333333,0.005557777,0.119666667,0.00601849,0.120333333,0.009568467,0.038333333,0.003091206,60.4,5.093132631,WHITE,3
1995,0.067333333,0.00601849,0.096666667,0.00601849,0.115666667,0.006798693,0.131,0.00725718,0.095333333,0.008055364,0.03,0.002160247,56.4,5.068201522,WHITE,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,4
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,4
